GeneID1	GeneID2	PCC_mild	feature_type	PCC_mild_abs
C4BPB	PROS1	0.690548978065311	protein-protein	0.690548978065311
CD14	LTF	-0.142498365063686	protein-protein	0.142498365063686
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
HLA-C	HLA-B	0.118672764243706	protein-protein	0.118672764243706
HLA-A	HLA-B	-0.177392386018881	protein-protein	0.177392386018881
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
HLA-C	HLA-B	0.118672764243706	protein-protein	0.118672764243706
HLA-A	HLA-B	-0.177392386018881	protein-protein	0.177392386018881
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
AGT	HSPA5	0.103782307127309	protein-protein	0.103782307127309
C4BPB	PROS1	0.690548978065311	protein-protein	0.690548978065311
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
CD14	LTF	-0.142498365063686	protein-protein	0.142498365063686
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
HLA-C	HLA-B	0.118672764243706	protein-protein	0.118672764243706
KNG1	PLG	0.329748939042059	protein-protein	0.329748939042059
F10	PLG	0.147315279258754	protein-protein	0.147315279258754
HSPA5	HLA-B	0.168960507949544	protein-protein	0.168960507949544
HSPA5	HLA-C	0.175287750948948	protein-protein	0.175287750948948
VWF	HSPA5	0.147239730628506	protein-protein	0.147239730628506
CD14	LTF	-0.142498365063686	protein-protein	0.142498365063686
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
AGT	HSPA5	0.103782307127309	protein-protein	0.103782307127309
C4BPB	PROS1	0.690548978065311	protein-protein	0.690548978065311
LYZ	LTF	0.131225249648139	protein-protein	0.131225249648139
SERPINF2	PLG	0.39255151562421	protein-protein	0.39255151562421
KNG1	PLG	0.329748939042059	protein-protein	0.329748939042059
F10	PLG	0.147315279258754	protein-protein	0.147315279258754
AGT	PLG	-0.130519535639519	protein-protein	0.130519535639519
C4BPB	PROS1	0.690548978065311	protein-protein	0.690548978065311
LYZ	LTF	0.131225249648139	protein-protein	0.131225249648139
HSPA5	NCAM1	-0.124970188071087	protein-protein	0.124970188071087
MB	HBA1	-0.143690430116172	protein-protein	0.143690430116172
HLA-C	HLA-B	0.118672764243706	protein-protein	0.118672764243706
HLA-A	HLA-B	-0.177392386018881	protein-protein	0.177392386018881
HLA-A	HLA-C	0.394932209847818	protein-protein	0.394932209847818
SERPINA5	SERPINF2	-0.15211541872411	protein-protein	0.15211541872411
C5	C3	-0.353056459570341	protein-protein	0.353056459570341
B2M	HLA-B	0.298851927264241	protein-protein	0.298851927264241
AGT	SERPINF2	0.135779083262117	protein-protein	0.135779083262117
AGT	SERPINA5	-0.271196790638496	protein-protein	0.271196790638496
SERPINA3	A1BG	0.4381537477561	protein-protein	0.4381537477561
ELANE	HBB	0.222342361684843	protein-protein	0.222342361684843
ANG	A1BG	-0.349206546748611	protein-protein	0.349206546748611
ANG	SERPINA3	-0.205573532220204	protein-protein	0.205573532220204
PROC	TF	0.164754906326549	protein-protein	0.164754906326549
CFI	PROC	-0.212808756976987	protein-protein	0.212808756976987
ICAM1	SERPINE1	0.100368044508104	protein-protein	0.100368044508104
SERPINA3	A1BG	0.4381537477561	protein-protein	0.4381537477561
SERPINA3	SAA1	0.62545527632787	protein-protein	0.62545527632787
ELANE	HBB	0.222342361684843	protein-protein	0.222342361684843
PROC	TF	0.164754906326549	protein-protein	0.164754906326549
PROC	ANG	0.275558128027909	protein-protein	0.275558128027909
ICAM1	NRP1	0.167180851922409	protein-protein	0.167180851922409
